name,dy_cd,glm_aed,gotm_wet,gotm_fabm,name_text,name_full,name_parse,units,conversion_aed,default,derived,derived_from,keywords
NIT_nit,NO3,NIT_nit,abiotic_water_sNO3W,instances/abiotic_water/initialization/sNO3W,Nitrate,Nitrate-N_g/m3,Nitrate-N~(g~m^-3),g/m^3,0.0140067,4.10E-04,FALSE,NA,nitrate|NO3|NO2|NIT_nit
NIT_don,DONL,OGM_don,abiotic_water_sNDOMW,instances/abiotic_water/initialization/sNDOMW,Dissolved organic N,Dissolved_organic_N_g/m3,Dissolved~organic~N~(g~m^-3),g/m^3,0.0140067,4.10E-04,FALSE,NA,dissolved organic N|NIT_don
NIT_donr,DONR,,,,,,,,0.0140067,,FALSE,NA,dissolved organic N residual|NIT_donr
NIT_pon,PONL,OGM_pon,abiotic_water_sNPOMW,instances/abiotic_water/initialization/sNPOMW,Particulate organic N,Particulate_organic_N_g/m3,Particulate~organic~N~(g~m^-3),g/m^3,0.0140067,0.002,FALSE,NA,particulate organic N|NIT_pon
NIT_ponr,PONR,,,,,,,,0.0140067,,FALSE,NA,particulate organic N residual|NIT_ponr
NIT_pin,PIN,,,,Particulate inorganic N,Particulate_inorganic_N_g/m3,Particulate~inorganic~N~(g~m^-3),g/m^3,0.0140067,,FALSE,NA,particulate inorganic N|NIT_pin
NIT_tn,TN,TOT_tn,wet_totN_calculator_result,,Total nitrogen,Total_nitrogen_g/m3,Total~nitrogen~(g~m^-3),g/m^3,0.0140067,,FALSE,NA,total nitrogen|NIT_tn
CAR_dic,DIC,CAR_dic,abiotic_water_sDIMW,instances/abiotic_water/initialization/sDIMW,Dissolved inorganic carbon,Dissolved_inorganic_carbon_g/m3,Dissolved~inorganic~carbon~(g~m^-3),g/m^3,0.012011,,FALSE,NA,dissolved inorganic carbon|CAR_dic
CAR_doc,DOCL,OGM_doc,abiotic_water_sDDOMW,instances/abiotic_water/initialization/sDDOMW,Dissolved organic carbon,Dissolved_organic_carbon_g/m3,Dissolved~organic~carbon~(g~m^-3),g/m^3,0.012011,0.008,FALSE,NA,dissolved organic carbon|CAR_doc
CAR_docr,DOCR,,,,,,,,0.012011,,FALSE,NA,dissolved organic carbon residual|CAR_docr
CAR_poc,POCL,OGM_poc,abiotic_water_sDPOMW,instances/abiotic_water/initialization/sDPOMW,Particulate organic carbon,Particulate_organic_carbon_g/m3,Particulate~organic~carbon~(g~m^-3),g/m^3,0.012011,0.01,FALSE,NA,particulate organic carbon|CAR_poc
CAR_pocr,POCR,,,,,,,,0.012011,,FALSE,NA,particulate organic carbon residual|CAR_pocr
CAR_pH,PH,CAR_pH,,,,pH,pH,,1,,FALSE,NA,pH|CAR_pH
CAR_ch4,,CAR_ch4,,,Carbon CH4,,,,1,,FALSE,NA,carbon CH4|CAR_ch4
