Date,outflow
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,1714.90642142307
2021-02-26,5368.76221903634
2021-02-27,8676.64698146942
2021-02-28,10021.613926502
2021-03-01,10850.0985771497
2021-03-02,8052.32547227444
2021-03-03,4991.29836662214
2021-03-04,2229.45480453259
2021-03-05,1328.30855073693
2021-03-06,908.181931044476
2021-03-07,660.418019093855
2021-03-08,369.397455078995
2021-03-09,276.486936604698
2021-03-10,131.014874763111
2021-03-11,71.2352501468326
2021-03-12,37.2148988714746
2021-03-13,86.3383608830817
2021-03-14,199.763934982632
2021-03-15,329.292890132869
2021-03-16,410.082311645696
2021-03-17,226.441529652946
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,46.7775622897243
2021-03-26,676.425099541044
2021-03-27,309.947520694155
2021-03-28,155.427427173604
2021-03-29,0
2021-03-30,0
2021-03-31,0
2021-04-01,0
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,0
2021-04-07,0
2021-04-08,0
2021-04-09,0
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,0
2021-04-14,0
2021-04-15,0
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,726.326411266015
2021-04-20,1276.69143498583
2021-04-21,198.812414360177
2021-04-22,647.846798943209
2021-04-23,714.852299528962
2021-04-24,556.274007129098
2021-04-25,372.353851948249
2021-04-26,225.331330248893
2021-04-27,0
2021-04-28,0
2021-04-29,0
2021-04-30,0
2021-05-01,0
2021-05-02,0
2021-05-03,0
2021-05-04,0
2021-05-05,0
2021-05-06,0
2021-05-07,25.1351216002034
2021-05-08,85.3191687866181
2021-05-09,0
2021-05-10,424.360817727878
2021-05-11,257.708526507865
2021-05-12,0
2021-05-13,0
2021-05-14,0
2021-05-15,0
2021-05-16,0
2021-05-17,0
2021-05-18,0
2021-05-19,354.197055351496
2021-05-20,2848.64241671006
2021-05-21,4486.45682180899
2021-05-22,6515.85986441553
2021-05-23,8117.85661472173
2021-05-24,9696.40550329099
2021-05-25,9747.71501667122
2021-05-26,10933.3991388895
2021-05-27,11070.6751179153
2021-05-28,12326.8979852564
2021-05-29,11126.7129807764
2021-05-30,10926.5212481062
2021-05-31,9552.91178137794
2021-06-01,8665.39541535492
2021-06-02,7198.29272220249
2021-06-03,6381.05945351631
2021-06-04,5292.64106261076
2021-06-05,4783.42620678529
2021-06-06,4318.43090683721
2021-06-07,4044.65061192798
2021-06-08,4469.57580885482
2021-06-09,4718.07691440711
2021-06-10,4816.72983701501
2021-06-11,5668.8650541051
2021-06-12,5836.27020986139
2021-06-13,5673.19237075154
2021-06-14,5719.4858882939
2021-06-15,5761.50399591493
2021-06-16,5124.65923341924
2021-06-17,4903.36584037732
2021-06-18,4377.94955204505
2021-06-19,3854.46840773336
2021-06-20,3923.50774804996
2021-06-21,6930.63853661684
2021-06-22,8259.41329079696
2021-06-23,10003.2163602525
2021-06-24,12862.7334939468
2021-06-25,17927.1343743947
2021-06-26,19039.0747137894
2021-06-27,26056.3625856552
2021-06-28,33355.0593216755
2021-06-29,34119.5671564755
2021-06-30,30717.8608614632
2021-07-01,27860.3648580983
2021-07-02,20713.7163817698
2021-07-03,12756.8490877107
2021-07-04,10173.4266812063
2021-07-05,9133.79203428413
2021-07-06,14667.9284228221
2021-07-07,16542.5737628915
2021-07-08,16957.6545408377
2021-07-09,16977.6691726212
2021-07-10,17015.3122616624
2021-07-11,10920.782363987
2021-07-12,10272.1751569916
2021-07-13,10934.9082780401
2021-07-14,13321.345805681
2021-07-15,15957.2786747662
2021-07-16,20180.1896286978
2021-07-17,21093.6475346684
2021-07-18,22720.9747078421
2021-07-19,22298.5307643349
2021-07-20,20609.7321594795
2021-07-21,19669.4198966916
2021-07-22,24218.0162601988
2021-07-23,25512.7356633753
2021-07-24,30004.1505873116
2021-07-25,33304.3809440514
2021-07-26,36759.4091675386
2021-07-27,40591.5469910133
2021-07-28,40090.3971925492
2021-07-29,40593.1032578024
2021-07-30,41688.9629991828
2021-07-31,45677.1674436967
2021-08-01,37901.4141512715
2021-08-02,38514.6941434602
2021-08-03,34955.2606645208
2021-08-04,32430.0375877399
2021-08-05,24529.2944857779
2021-08-06,23120.1678611832
2021-08-07,19995.7325779968
2021-08-08,18937.7404247302
2021-08-09,17903.2528419586
2021-08-10,16341.7370088689
2021-08-11,15744.17585512
2021-08-12,15323.3362588798
2021-08-13,13512.8549952952
2021-08-14,12279.7756350133
2021-08-15,11550.6534300293
2021-08-16,10873.5993718859
2021-08-17,10374.5537248039
2021-08-18,9861.91104335995
2021-08-19,9351.07728231248
2021-08-20,8848.29370050989
2021-08-21,8433.68434546679
2021-08-22,7994.69931188694
2021-08-23,22089.6390405726
2021-08-24,45580.9487468521
2021-08-25,52976.8209219996
2021-08-26,55760.4720494798
2021-08-27,57274.1269066239
2021-08-28,43829.3750677181
2021-08-29,20876.737322603
2021-08-30,13987.6241956545
2021-08-31,11630.841328664
2021-09-01,10536.4321478563
2021-09-02,10005.9626273718
2021-09-03,11558.705173045
2021-09-04,11705.3865942834
2021-09-05,11377.6312376544
2021-09-06,11152.1942733892
2021-09-07,10571.6822789865
2021-09-08,8144.63717369442
2021-09-09,7263.00849145646
2021-09-10,6915.16764808748
2021-09-11,6512.90759753275
2021-09-12,6362.25929127951
2021-09-13,6882.18240269686
2021-09-14,10499.705642964
2021-09-15,11505.6863643407
2021-09-16,14514.0396036824
2021-09-17,16371.5870904199
2021-09-18,16462.9653134662
2021-09-19,20535.5996559345
2021-09-20,23676.7554548227
2021-09-21,23266.3644715829
2021-09-22,23246.8824193355
2021-09-23,33218.3911265066
2021-09-24,36136.9381492507
2021-09-25,36031.0744900726
2021-09-26,35865.1888335104
2021-09-27,45315.1467505373
2021-09-28,37912.5995952689
2021-09-29,29503.8504307358
2021-09-30,28011.4811586291
2021-10-01,29960.0529827769
2021-10-02,25146.5799414041
2021-10-03,26872.943037321
2021-10-04,27752.5040108885
2021-10-05,30998.3298821601
2021-10-06,30076.628037966
2021-10-07,25615.4872794623
2021-10-08,21936.9603856318
2021-10-09,19899.531443339
2021-10-10,15031.8298603442
2021-10-11,12344.0288737613
2021-10-12,11062.4184601554
2021-10-13,10644.516042646
2021-10-14,9977.93948038359
2021-10-15,9297.0046925896
2021-10-16,8814.96959799096
2021-10-17,8380.9069300042
2021-10-18,7663.08564157628
2021-10-19,7349.2540922603
2021-10-20,7457.65562946389
2021-10-21,7157.85282149919
2021-10-22,6852.41270294756
2021-10-23,6663.10578401785
2021-10-24,6728.10773129554
2021-10-25,6103.23837079201
2021-10-26,5784.17990969803
2021-10-27,5601.65397193587
2021-10-28,5098.0665746613
2021-10-29,4388.9458860716
2021-10-30,4974.39990097896
2021-10-31,4821.91495152511
2021-11-01,4440.46055036354
2021-11-02,4338.91730297241
2021-11-03,4242.74898588575
2021-11-04,3217.89790387795
2021-11-05,4407.02458262122
2021-11-06,6024.12314225996
2021-11-07,6529.99250106814
2021-11-08,6735.86610253406
2021-11-09,6901.33112911067
2021-11-10,5877.66225118376
2021-11-11,4173.05981698474
2021-11-12,3548.06163901607
2021-11-13,3321.90062514734
2021-11-14,4014.66491131626
2021-11-15,8458.5939165354
2021-11-16,11302.1294282578
2021-11-17,12286.4266552774
2021-11-18,12522.6268721727
2021-11-19,11718.676736796
2021-11-20,7029.79419452691
2021-11-21,4354.72051120055
2021-11-22,3506.78254447946
2021-11-23,3655.35405230396
2021-11-24,4227.69545214265
2021-11-25,4022.35245901079
2021-11-26,4224.73751977256
2021-11-27,4024.62999842734
2021-11-28,3519.29095755781
2021-11-29,2846.99966575901
2021-11-30,2915.45395034906
2021-12-01,2507.38013410214
2021-12-02,2503.50342353363
2021-12-03,2422.53820124444
2021-12-04,2322.91984584648
2021-12-05,2174.78923980683
2021-12-06,2544.67568321081
2021-12-07,2648.46386094448
2021-12-08,2636.44935187092
2021-12-09,2505.42299194856
2021-12-10,2316.4926804289
2021-12-11,1549.49203325697
2021-12-12,1022.58678494575
2021-12-13,665.143166035358
2021-12-14,439.755766471871
2021-12-15,333.301412616925
2021-12-16,449.741714133467
