"ID","Name","Area","Region","Geomorphic type","Depth","Depth measurement","Data","aeme_file"
"LID 46700","Forks Lagoon",9.81,"Canterbury","Riverine",12.13,"Predicted","No data","LID46700"
"LID 46701","Fred's Tarn",7.21,"Canterbury","Glacial",15.37,"Predicted","No data","LID46701"
"LID 46723","Moeraki",242.08,"West Coast","Glacial",43.09,"Measured","No data","LID46723"
"LID 46724","Lake Rasselas",31.44,"West Coast","Glacial",32.84,"Predicted","No data","LID46724"
"LID 46725","Paringa",475.2,"West Coast","Glacial",55.78,"Measured","No data","LID46725"
"LID 46742","LID 46742",5.2,"West Coast","Peat",24.18,"Predicted","No data","LID46742"
"LID 46758","LID 46758",9.46,"West Coast","Glacial",NA,"Predicted","No data","LID46758"
"LID 46763","Kini",15.02,"West Coast","Peat",4.73,"Predicted","No data","LID46763"
"LID 46774","LID 46774",9.99,"West Coast","Glacial",NA,"Predicted","No data","LID46774"
"LID 46775","Rototekoiti",22.96,"West Coast","Glacial",NA,"Predicted","No data","LID46775"
"LID 46799","LID 46799",10.35,"West Coast","Glacial",11.16,"Predicted","No data","LID46799"
"LID 46822","LID 46822",5.1,"West Coast","Glacial",NA,"Predicted","No data","LID46822"
"LID 46835","Tasman Lake",208.69,"Canterbury","Glacial",280.33,"Measured","No data","LID46835"
"LID 46848","LID 46848",9.02,"Canterbury","Glacial",19.82,"Predicted","No data","LID46848"
"LID 46868","LID 46868",15.16,"Canterbury","Glacial",NA,"Predicted","No data","LID46868"
"LID 46918","Lake Barrowman",12.16,"West Coast","Glacial",NA,"Predicted","No data","LID46918"
"LID 46922","Lake Pratt",5.7,"West Coast","Riverine",16.56,"Predicted","No data","LID46922"
"LID 46926","LID 46926",11.76,"West Coast","Glacial",NA,"Predicted","No data","LID46926"
"LID 46954","Ata Puai (Alpine Lake)",57.2,"West Coast","Glacial",25.61,"Predicted","No data","LID46954"
"LID 46956","Miro",1.5,"West Coast","Glacial",26.95,"Predicted","No data","LID46956"
"LID 46957","Three Mile Lagoon",84.35,"West Coast","Shoreline",11.85,"Predicted","No data","LID46957"
"LID 46959","Mapourika",890.01,"West Coast","Glacial",78.88,"Measured","No data","LID46959"
"LID 46964","Wahapo",244.68,"West Coast","Glacial",61,"Measured","No data","LID46964"
"LID 46992","Okaritoiti (Lake Windermere)",31.43,"West Coast","Shoreline",NA,"Predicted","No data","LID46992"
"LID 47067","Wawahi Waka (Lake Alabaster)",530.06,"Southland","Riverine",75.52,"Measured","No data","LID47067"
